1344785	1620
1086140	1600
1686630	1640
1957587	1630
5038153	1650
5360424	1680
4392932	1670
3655573	1660
4075815	1720
3526128	1690
4370970	1710
2214916	1610
5474088	1740
6261080	1700
7538	1570
226664	1590
154581	1580
30611	1560
3318656	1730
6890580	1780
3408927	1900
11014745	1850
5283550	1910
11494673	1890
448097	1920
10167173	1830
6718785	1870
8707231	1880
5423721	1800
5862944	1810
12886951	1840
10396902	1860
4868053	1750
3853382	1760
4913455	1820
8327395	1770
8158312	1790
15372	1530
253919	1520
27017	1490
1572	1510
3095	1500
369139	1940
3966	1480
537	1470
254167	1950
44511	1550
70616	1960
