lemma,wordforms
wahr,"wahr,wahrem,wahre,wahren,warem,Wahrer,Wahren,wahrer,waar,waarer,waare,Wahr,warer,wahres,Wahre,wares,wahꝛẽ,warEr,Wahres,wahꝛe,wahꝛ,wahꝛem,wahꝛen,wahꝛer,wahrẽ,waher,Warem,wahꝛes,wahrſten,wahr’,wahreꝛ,wahrẽ,wahrē,wahresten,wahrs,Waar,wahrsten,wǟre,wāhrĕ,wǟrĕ,wāhre,wahr',Wahrn,wahrſte,allerwahrſte,Wohre,wåhꝛe,wåhre,wahrere,wahreren,wahrste,Wahrſten,wáhren,waꝛe,Wahrste,wahero,Wahrerem,WAhren,wahreres,Wahrſte,Wahrsten,allerwahreſten,Wahrere,wahrern,Wahrſtes,wahreſte,wahreſten,wahrſtes,wāres,Wahreſte,wahrst,Wahrem,wahr's,waͤhres,wahreſter,Warſten,wohre,Wahreren,wahrſter,wahrestem,wahr[s,wahreste,wahr’s,Wahreres,wahrerer,Wahreste,wahr;,wahr‘"
Lehre,"Lehr,Lehre,Lehren,lehre,laͤhren,Lere,lerre,Lehꝛe,Lehꝛ,Lehꝛen,Lehrẽ,leren,LEhre,laͤhre,laͤre,Löhren,Laire,LEHRE,Laͤhre,Lehr’,Lehre’,laͤere,Lehr',Lehre‛,Lehres,Lehré,LAIRE,Leeræ,Lehr’n,Lehre;,Leh-re,Leren,läre,LEHREN"
fahren,"fahr,fahren,gefahren,fuhr,Fahr,fahre,fahrend,faͤhret,faͤhrt,fahr’,fůhrn,fehret,fůhren,Fahre,fahrn,fuhren,fuhret,fahreſt,gefahꝛen,fehꝛet,fuhꝛet,fahꝛen,fehꝛt,Ferdt,fahꝛn,Faͤhrt,fahrt,faͤhꝛet,fahrẽ,gefaren,Faͤrſt,fahꝛ,gefahrn,fehrt,Fuhr,fehreſt,fahret,faͤhꝛt,fare,fahꝛe,faren,furſt,Fahret,faͤhrſt,Fuhrſt,gefahrẽ,faͤhreſt,gefaͤhren,Verd,fährt,fuhrt,fuhꝛ,Fährt,Fuͦrst,fahrent,Fuhrt,fahrendt,Vaͤrt,fuar,Fährſt,fährſt,gefahrẽ,faͤhrſtu,gefehren,fahr',farend,furen,fuhrẽ,Faͤhret,fährst,fůhret,Fůhret,fůhrt,gfahrn,fuhrn,gfahren,fähret,fáren,Făhr,Fährst,Fahr',gefaͤhrn,fuhꝛen,fuhreſt,FUhr,färt,ferd,Verth,vúr,vuor,vuoren,gefarn,faͤhr’ſt,fuhrſt,Fahrend,fara,fâra,fârên,fâren,furꝛ,faͤhreſtu,fahꝛẽ,fuor,verd,fährest,Fare,fåhret,fůhreſt,fährts,fahr't,faͤret,g’fahren,Faͤhrd,fuhrest,Fahr’,fuur,faͤrt,phar,Faͤhreſt,Furen,furst,faͤhrts,Faͤhrſt,FAhr’,FAhr,vährt,fahrſt,fahrts,Vuur,fará,fähreſt,far’,fahrst,fůren,fůhr,faͤhr’t,Faͤhr’t,gefahr’n,fahr’n,Fahreſt,fabren,fuͦr,fareſt,furẽ,geſahren,faͤrſt,Fahres,vur,ferth,g’fahr’n,fahreſtu,g’fahrn,fehren,fahr's,faehrt,fehrſt,fahꝛent,fehreſtu,fāhrt,Faahre,fůhret’,fůrſt,furꝛen"
fühlen,"fuͤhlen,fuͤhleten,gefuͤhlet,fuͤhle,fuͤhl,fuͤhlet,fuͤhlte,fuͤlete,fuͤhlete,fuͤhlt,gefuͤlet,fühleten,Fuͤhle,fuͤhlets,gefühlet,Fuͤhleſt,Fuͤhlet,fuͤhleſt,fühlen,fůhlen,fuͤlet,fuͤle,fühlet,fühlets,gefület,Fuͤhlt,Gefuͤhlt,gefuͤhlt,Fuͤhlſt,fuͤhlſt,fuͤhl’,fuͤhln,fühlte,fühlt,gefühlt,fühlten,fühle,Fühlen,fühlſt,fühl,Fühle,Fühlt,fühltest,fuͤhltẽ,Fühlst,Fuͤhlen,Fühl’,fühl’,fühlteſt,fühlt’,Fühl,Fühlte,Fühlſt,fuͤhleſtu,Fuͤhl,verfuhle,fühl',fühlt',fühlend,fühleſt,fühlts,geſuͤhlet,fuhlen,fuͤhletet,fühlete,fühlest,fühlst,fuhlten,Fühl',fǖhle,Fühlt',fuͤhlt’,fuͤhlend,fuhlt,fuhlte,fuͤhlten,fuͤl’t,Fuͤl’t,fuͤleſt,Fuͤhl’,Gefuͤhlet,fuͤhlteſt,fuͤlt,fuͤhlt',gefuͤlt,fuͤhl',fülten,gefült,Gefuͤld,fuͤhlẽ,fuͤhleteſt,Gefühlt,Fuͤhlt',Fuͤhl',fuͤlte,fůhleten,füld,Fuͤhlt’,fühltet,Fühlet,Fühlten,fühl’t,Fühl’t,fuͤhlst,fuͤhl’t,fuͤlten,fuͤhlẽ,Fuͤhlten,Fuͤhlte,gefuhlt,fuͤhl’n,fuͤhlſtu,fuͤhlteſtu,fuͤhltet,fuͤhlts,fuͤhltſt,fuhlteſt,fuhltet,fülte,füle,fült,fuͤhlten’s,Fihle,Fuͤhltet,fuͤhltet’s,gefuͤhl’t,Fuͤhl’t,fuͤhl’ſt,Fühlend,fuͤhltens,Fuͤhlend,fuͤhltest,Gefuͤlet,fuhlet,füehl,fuͤhlet’,Fuͤhlſtu,Fuͤhlts,fuhle,fuele,fuelen,Fühlt’,verfuͤhlete,fůhl’"
wohnen,"wohnen,wohnet,wohneten,wohnend,wohne,wohneſt,wont,Wohnet,wohnete,wohnẽ,wohnte,wohnt,Wohne,Wohn,wonen,wohnſt,wonet,wohn,wone,wohnne,wonete,wonend,wohns,woneten,Wohnt,wohnt',wohnteſt,wohnt’,wohnten,Wone,Wohnend,Wohneſt,wohnẽ,wohnst,wonendt,wohn',wōhnt,wōhnĕn,wonend',wohnest,wonent,wohnetẽ,Wohnete,wohnte;,wuhnen,wohn’,wohntest,wohnent,wo’n,Wohnſt,Wohnst,wohntet,wohn’t,wuhne,wohnẽd,Wohnt',woohne,woͤhnet,wonte,wonten,wonſt,Wohnt’,Wohnten,Wohnte,Wohneten,woͤhnt,wohntẽ,wohnet;,woneſt,Wohn',won’t,woͤhnete,Wohntet,wohnigen"
Uhr,"vhr,Vhr,Vhrn,Uhr,Uhren,uhr,vhren,Vhren,UHR,vhrn,vher,Uhrn,Vr,vhꝛ,Vhꝛ,uor,Vhꝛen,vhꝛen,uhren,vr,Urh,urr,Vher,uren,Vhraͤhn,uhrgen,U[hr],U[hr,VR,úar,uoꝛ,Vhre,Vrh,Uhrr,Uhꝛ,Uhr(,Uhrẽ"
führen,"gefuͤhret,fuͤhret,fuͤhren,fuͤhrten,gefuͤhrt,fuͤhr,fuͤhrſt,fuͤhre,fuͤhrt,fuͤhrteſt,fuͤhrets,fuͤhrte,Fuͤhrte,fuͤhrete,Fuͤhret,Fuͤhrete,ſuͤhren,gefůhret,fuͤhr’t,gefuhret,führet,fuͤhreten,fuͤhrn,fuͤhrſtu,fuͤhreſtu,ſuͤhret,fuͤhreſt,fuͤhr’ſt,fuhrten,Fuͤhrt,fuͤhrẽ,gefuͤrt,fuͤren,fuhrte,führen,geführet,fuͤhꝛen,gefühꝛet,gefuͤhꝛet,fuͤhꝛet,gefuͤret,Fuͤhr,fuͤhr’,fuͤhretẽ,fuͤre,fuͤhꝛe,fuͤret,fuͤhꝛts,geſuͤhꝛt,fuͤhꝛete,geſühret,fuͤrte,fuͤrt,führete,gfuͤhrt,gefürt,füren,Gefuͤhrt,Fuͤhrſt,Gefuͤhret,fuͤhrt’,fuͤhrteſtu,fuͤhrend,geführt,führte,führten,führt,führe,fuͤhꝛte,gefuͤhꝛt,fuͤhrtens,führend,führſt,führst,Führt,Führte,führ’,führ,führ’ſt,führeſt,Geführt,Fuͤhreſtu,fuͤhr',Fuͤhrten,gefoͤhrt,fuͤhrts,führteſt,führtet,Führ',fuͤhrē,fuͤhretẽ,fürd,Führet,geſuͤhret,Fuͤrten,führeten,führest,gefüert,füeren,gfüert,fueret,gefyrt,foͤhrt,fůhrete,fůhreten,gefůhrt,fuͤhrtn,fůhrten,fuͤhr’n,Fürt,Führt',vürhte,füeret,führ',führt',gefüeret,fǖhrtĕ,Führe,fuͤrteſt,fürt,gefueret,Fuhrte,Fuͤhr’,ſühren,vergeführt,gefuͤhr’t,Fuͤhrt’,Führ,fyrd,fůert,fuͤeren,Fuͤerenndt,fuhreten,fuͤhꝛẽ,gefũhret,fuͤhretet,fuͤhrtete,sühren,Fuͤhreſt,Fuͤhre,fuͤhrte;,Fuͤhr',fuͤhrt',fuͤrete,Fuͤhrend,Führſt,fuͤhrtet,fuͤhret’,führtest,ſuͤhrten,Fyrth,fuͤhren;,führt’,fuerte,Fuerte,Fuerre,führ’t,fuert,fuͤhren’,füre,fuͤhrē,fuͤhrẽ,Fuͤrt,fuhrend,fühern,gefuͤhert,fuͤhrtſt,fuͤhrt’s,Vueren,fuͤrẽ,füret,fürte,fü[h]r’,geſuͤhrt,fuͤhꝛẽ,Fuͤhreten,Führten,geführt;,Führt’,fuͤhreteſt,fuͤhrtẽ,führt's,füheren,fuͤhꝛt,fuͤhrten;,g’führt,fůhrte,fuͤern̄,fürhte,gefuhrt,Füret,Führst,fuͤhꝛten,Vuere,Führend,fuͤhretē,Fuͤhrt',fuͤher,fyhrten,Fuͤrthe,Führete,vüré,führten’s,führter,fuͤhrent,fũhreten,Fuerth,führet’,fuͤhrt’ſt"
Zahl,"zahl,Zahl,zall,Tſal,Zahlen,zaal,Zaal,Zall,Zahlen:,zallen,Zalen,Zahl’n,tzahl,Zahel,ZAhl,Czal,Zahlẽ,ZahL,Zohlen,Zahlen;,Zapplen,tzall,Zahlen‘,Zahl;,tzal,Zahl's,Zahln,zahll"
wehren,"wehret,Wehret,wehren,gewehret,wehrte,wehrten,wehrt,wehre,wereſtu,wehrets,wehr,wehreſt,gewehrt,wehꝛe,wehꝛen,wehrn,Wehrt,gewehꝛet,geweret,Wehren,wehꝛet,wehꝛt,Wehrten,Wehrſt,Wehrte,wehꝛte,wehꝛets,wehꝛete,wehr’,wehr',wehreten,wehrtet,gwehret,wēhren,Wehr’t,gewehr’t,wehr’t,wéhren,wéhre,wéhrend,wehrẽ,zerwehre,Wehrt’,wehrt’,wehrt',gewehꝛt,wehrſt,wehrteſt,Gewehrt,wehr’n,wehrtẽ,wehereſt,wehrigen,wehren‘,wehrē,Wehr’ſt,vergewehret,Gewehret,wehrẽ"
rühren,"ruͤhret,geruͤhrt,Ruͤhret,ruͤhrt,ruͤhr’t,ruͤhrte,ruͤhren,ruͤhrten,ruͤret,geruͤhret,ruͤhre,ruͤren,geruͤret,rühꝛet,ruͤhr,rührt,ruͤhꝛet,ruͤhrets,rühret,ruͤrete,ruͤhrete,rüren,Ruͤhrt,ruͤhꝛen,ruͤhrn,ruͤhrteſtu,Rühre,gerührt,rührte,rührten,rührend,rühren,Rührt,Gerührt,geruͤrt,g’rührt,rühr’n,rührſt,rühre,gerühret,Ruͤhre,Ruͤhr,rühr',ruͤhreten,Rührte,geruhrt,Rührend,Ruert,gerůhret,růhrt,rührteſt,rühr,Rühret,riehrt,růhren,ruͤhrend,rürt,ruͤhr',Geruͤhrt,ruͤr’ten,geruͤhr’t,ruͤhreſt,Geruͤhret,ruͤhrt’,ruͤhrſt,Ruͤhreſt,ruͤhret’,Rühr,Rühr',geruhret,gerůhrt,ruhret,ruͤhrteſt,rührtest,ruͤhrẽ,ruͤhrts,růhrete,ruͤrte,růhret,ruhrt,ruͤre,rür,ruͤhrt's,ruͤhrt',Ruͤhrſt,Ruͤhr',ruͤhrs,rührs,růhre,rührst,ruͤhrtes,Ruͤhrend,ruͤhr’,Rührst,rühr’,Rühr’,rühr’t,ruͤuͤrt,rüürt,rühra,Ruͤren,ruͤrt,ruͤhr’n,ruͤhris,ruͤhrtet,rürend,Ruͤhrte,ruͤhꝛte,rührete,ruhrete,Ruͤhrten,ruͤrn̄,rüre,ruͤhꝛe,ꝛuͤhren,ruhrte,ruhren,rihrete,rihren,rührets,rührtet,rühreten,ruhre,rühreſt,Rührten,ruͤhrther,ruͤhres,ruͤr,ruͤhꝛs,ruͤhrt’ſt"
